Feature ID	C01	C02	C03	C04	C05	C06	C07	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	P01	P02	P03	P04	P05	P06	P07	P08	P09	P10	U01	U02	U03	U04	U05	U06	U07	V01	V02
f_Rhodobacteraceae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Rhodospirillaceae	0	0	0	0	0	0	0	0	1	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
f_Rikenellaceae	5	0	0	1	0	91	119	2	155	124	19	61	113	2	118	0	33	0	0	88	2	972	63	297	184	162	2	0	29	0	0	40	0	22	124	8
f_Ruminococcaceae	5262	4970	1190	268	2	1897	2474	336	7195	12593	5004	3470	11392	8820	20214	742	7981	9768	19915	6265	5682	19541	4828	14463	5256	4697	579	19423	35776	17	1653	6674	3254	570	2578	2560
f_Saccharibacteria_genera_incertae_sedis	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0
f_Sphingomonadaceae	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
f_Staphylococcaceae	0	0	0	0	3	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
f_Streptococcaceae	23227	184	3176	64	3	34	300	7	492	918	50	983	39	160	167	88	86	130	217	835	650	99	31	77	38	107	171	6873	1589	49	218	51	94	486	47	310
f_Streptomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Succinivibrionaceae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Sutterellaceae	2	2404	0	0	1	0	71	0	311	1	0	4	0	5	9	0	3	73	0	7	0	0	55	7	14	25	0	2	0	1003	0	1	0	0	12	0
f_Synergistaceae	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	37	0	1	6	24	15	1	0	0	0	0	0	0	0	0	42	0
f_Syntrophomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Veillonellaceae	4	0	0	3	1	12	18	1	29	0	0	0	28	256	4	1	0	0	1	18	1	0	9	0	93	0	0	10	0	153	0	0	0	0	0	69
f_Verrucomicrobiaceae	0	0	0	15	0	1	277	1	432	7	1	0	434	1	0	20	99	77	371	80	828	130	505	194	666	15	469	0	704	1	0	0	0	0	188	0
f_Victivallaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Xanthomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_unassigned	17	17	4	7	0	9	17	6	1626	119	1341	622	119	3	760	43	241	854	8	1212	578	2455	870	279	1895	373	18	7456	31	11	63	10	1	25	320	0
